# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-O" "-T" "8" "-a" "play_data_ref_annot/chr19_20Mb.gtf" "-o" "data_output_featureCount/KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001.txt" "data_output_star_mapped/KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	data_output_star_mapped/KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_Aligned.sortedByCoord.out.bam
ENSG00000099624.3	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1241749;1241749;1241767;1241769;1241816;1241819;1242327;1242455;1242455;1242455;1244056;1244096;1244096;1244096;1244096;1244096;1244096;1244314;1244314;1244314;1244314;1244314;1244314;1244314;1244690;1244736;1244736	1241990;1241990;1243353;1242608;1242608;1241990;1242608;1242608;1242608;1242608;1244184;1244184;1244184;1244184;1244184;1244184;1244184;1244824;1244540;1244439;1244824;1244439;1244439;1244824;1244785;1244824;1244823	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2245	989
ENSG00000167470.8	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1248552;1248552;1249887;1249889;1249889;1251260;1251561;1251561;1251561;1251621;1251838;1251838;1251838;1251838;1251838;1253683;1253953;1254166;1254166;1254166;1254166;1254166;1254901;1254901;1255421;1255421;1256994;1256994	1248659;1248659;1250528;1250528;1250528;1251648;1251648;1251648;1251648;1251648;1251900;1251900;1251900;1251900;1251900;1254081;1254081;1254301;1254236;1254302;1254477;1254477;1255060;1255060;1255693;1255693;1259142;1259139	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4495	2353
ENSG00000099622.9	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1259384;1261155;1261165;1261341;1261381;1261820;1264252;1264252;1264252;1264324;1266652;1266802;1267087;1267153;1267228;1267338;1267411;1269330;1269330;1269331;1269331;1269331;1269331;1269331;1269331;1269331;1269332;1269334;1269334;1269334;1269335;1269336;1269336;1269343;1269346;1269347;1269347;1269349;1269349;1269350;1269351;1269355;1269911;1270273;1270865;1270866;1270866;1270866;1270879;1270879;1270884;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1270927;1271120;1271120;1271139;1271139;1271139;1271139;1271139;1271139;1271139;1271139;1271139;1271139;1271139;1271139;1271139;1271139;1271139;1271139;1271139;1271139;1271139;1271139;1271139;1271139;1271139;1271139;1271139;1271139;1271139;1271139;1271166;1271328;1271328;1271328;1271328;1271328;1271328;1271328;1271328;1271328;1271328;1271328;1271328;1271328;1271328;1271328;1271328;1271328;1271328;1271328;1271328;1271328;1271328;1271328;1271328;1271328;1271328;1271328;1271328;1271328;1271548;1271550;1271550;1271550;1271550;1271550;1271550;1271550;1271550;1271550;1271550;1271550;1271550;1271550;1271550;1271550;1271550;1271550;1271550;1271550;1271550;1271550;1271550;1271550;1271550;1271550;1271550;1271550;1271550;1271550;1271550;1271550;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1271980;1272426;1272426;1272426;1272426;1272426;1272426;1272426;1272426;1272426;1272916;1272968;1273347;1273493;1273503;1273600;1274306;1274306;1274306;1274306;1274306;1274306;1274306;1274306;1274306;1274306;1274306;1274350;1274648;1274648;1274648;1274648;1274648;1274648;1274648;1274648;1274651	1259637;1261452;1261640;1261640;1261640;1262142;1264462;1264697;1264571;1264571;1266700;1267164;1267291;1267365;1267291;1267442;1267442;1269409;1269409;1269409;1269409;1269406;1269409;1269409;1269409;1269406;1269409;1269409;1269409;1269409;1269409;1269409;1269409;1269409;1269409;1269409;1269409;1269409;1269409;1269409;1269409;1269409;1269914;1271035;1271035;1271035;1271035;1271035;1270881;1270881;1271035;1271035;1271035;1271035;1271035;1271035;1271035;1271035;1271035;1271035;1271035;1271035;1271035;1271035;1271035;1271035;1271035;1271466;1271035;1271035;1271035;1271035;1271035;1271035;1271035;1271044;1271035;1271035;1271035;1271035;1271028;1271035;1271035;1271245;1271245;1271245;1271245;1271245;1271245;1271245;1271245;1271245;1271364;1271245;1271245;1271245;1271493;1271364;1271245;1271245;1271245;1271466;1271245;1271466;1271245;1271245;1271245;1271245;1271245;1271245;1271245;1271245;1271245;1271631;1271466;1271466;1271466;1271638;1271466;1271466;1271466;1271466;1271466;1271466;1271466;1271466;1271466;1271466;1271466;1271466;1271466;1271364;1271466;1271466;1271466;1271466;1271466;1271466;1271360;1271466;1271466;1271432;1271466;1271631;1271631;1271631;1271631;1271631;1271631;1271631;1271631;1271631;1271631;1271631;1271631;1271631;1271631;1271631;1271631;1271631;1271631;1271631;1271631;1271631;1272603;1271631;1271631;1271631;1271631;1271631;1271631;1271631;1271631;1271631;1271631;1272056;1272050;1272050;1272050;1272373;1272050;1272050;1272549;1272050;1272050;1272050;1272391;1272050;1272527;1274439;1272050;1274439;1274806;1274439;1272050;1272050;1273108;1272776;1272476;1273139;1272050;1272050;1272027;1272050;1272050;1272050;1272050;1272675;1272802;1273171;1272599;1273171;1272551;1272731;1272641;1273171;1273024;1272995;1273714;1273714;1273714;1273714;1274439;1274580;1274594;1274439;1274443;1274809;1274439;1274439;1274362;1274439;1274479;1274439;1274809;1274809;1274772;1274879;1274879;1274806;1274806;1274804;1274832	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6890	2362
ENSG00000267493.2	chr19;chr19;chr19	1268165;1269822;1269824	1268389;1270139;1270240	-;-;-	644	36
ENSG00000228300.9	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1275026;1275945;1276092;1276092;1277182;1277182;1277182;1277870;1278776;1278776;1278776;1278776;1278776	1275829;1276102;1276672;1277298;1277298;1277298;1277298;1277916;1279248;1278835;1279227;1279221;1279227	+;+;+;+;+;+;+;+;+;+;+;+;+	2678	413
ENSG00000160953.10	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1285890;1354710;1354921;1354976;1354978;1356320;1356322;1356322;1356322;1356323;1356323;1356323;1356323;1356363;1356363;1356977;1357008;1357008;1357008;1357008;1357008;1357008;1357008;1357008;1357008;1357008;1357008;1358393;1358393;1358393;1358393;1358393;1358393;1358393;1358393;1358393;1358587;1358587;1358587;1358587;1358587;1358587;1360135;1360135;1360135;1360135;1360135;1360135;1360135;1360135;1360135;1361900;1362249;1362249;1362249;1362249;1362249;1362249;1364508;1364508;1364508;1364508;1364508;1364508;1364508;1366304;1366304;1366304;1366304;1366304;1366304;1366304;1367159;1367159;1367159;1367159;1367159;1367159;1369103;1369264;1369264;1369264;1369264;1369264;1369264;1369595;1369595;1369595;1369595;1369595;1369595;1369595;1370641;1370641;1370641;1370641;1370641;1370641;1370641;1371233;1371322;1372098;1372237;1373071;1373071;1373071;1373071;1373071;1373071;1373506;1376518;1376518;1376518;1376518;1376518;1376518;1376518;1376518;1376518	1285921;1355019;1355019;1355134;1355019;1356448;1356448;1356448;1356448;1356448;1356448;1356448;1356448;1356448;1356448;1358463;1357093;1357093;1357093;1357093;1357093;1357093;1357093;1357093;1357089;1357498;1357093;1358463;1358463;1358463;1358463;1358463;1358463;1358463;1358463;1358463;1358699;1358699;1358699;1358699;1359893;1358692;1360630;1361031;1361031;1361031;1361031;1361031;1360597;1360672;1361031;1362350;1362350;1362350;1362350;1362350;1362350;1362350;1364578;1364578;1364578;1364578;1364578;1364578;1364578;1366350;1366380;1366380;1366380;1366380;1366380;1366380;1367219;1367219;1367219;1367219;1367219;1367219;1369339;1369339;1369339;1369339;1369339;1369339;1369339;1369645;1369645;1369645;1369645;1369645;1369645;1369645;1370777;1371077;1371077;1371077;1371077;1371478;1371077;1371389;1371385;1373159;1374370;1373159;1373159;1373159;1373159;1373159;1373159;1374048;1376916;1376916;1376916;1376864;1376916;1376916;1378430;1378429;1378430	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10249	1016
ENSG00000099617.2	chr19;chr19;chr19;chr19	1286153;1295544;1298550;1299823	1286307;1295857;1298615;1301430	+;+;+;+	2143	102
ENSG00000240846.1	chr19	1307403	1307720	-	318	16
ENSG00000267372.1	chr19;chr19	1321224;1322374	1321989;1322863	+;+	1256	13
ENSG00000267755.1	chr19;chr19;chr19;chr19	1376772;1376772;1377184;1377442	1377079;1377085;1377237;1377519	-;-;-;-	446	137
ENSG00000115286.15	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1383526;1383630;1383707;1383883;1383889;1383899;1383899;1383903;1383903;1383906;1383917;1383922;1384050;1386517;1387744;1387804;1387810;1387810;1387810;1387810;1387810;1387810;1387810;1387810;1387810;1387810;1387810;1387810;1387999;1388024;1388524;1388524;1388524;1388524;1388524;1388524;1388524;1388524;1388524;1388524;1388524;1388524;1388524;1388524;1388524;1388524;1388742;1388832;1388832;1388832;1388832;1388832;1388832;1388832;1388832;1388832;1388832;1388832;1388832;1390870;1390870;1390870;1390870;1390870;1390870;1390870;1390870;1390870;1390870;1390870;1390870;1390870;1390870;1391118;1391118;1391118;1391118;1391118;1391118;1391118;1391118;1391118;1391118;1391118;1391118;1391118;1391841;1393241;1393241;1393241;1393241;1393241;1393241;1393241;1393241;1393241;1393241;1393241;1393241;1393241;1393241;1393241;1394417;1394417;1395390;1395390;1395390	1383607;1383941;1383941;1383941;1384155;1383941;1383941;1383941;1383941;1383936;1383941;1383941;1384155;1386638;1387846;1387846;1387846;1387846;1387846;1387846;1387846;1387846;1387846;1387846;1387846;1387846;1387846;1387846;1388303;1388303;1388798;1388592;1388592;1388592;1388592;1388592;1388592;1388592;1388592;1388592;1388592;1388592;1388937;1388937;1388592;1388592;1388937;1388937;1388937;1388937;1388937;1388937;1388937;1388937;1391049;1388937;1388937;1388937;1388937;1391049;1391049;1391049;1391049;1391049;1391049;1391049;1391049;1391049;1391164;1391164;1391049;1391049;1391049;1391164;1391164;1391164;1391164;1391164;1391164;1391164;1391164;1391164;1391164;1391164;1391164;1391164;1395583;1393329;1395583;1393548;1393325;1393531;1393329;1393329;1395580;1393329;1393709;1393876;1395583;1395583;1393329;1393544;1395546;1394869;1395427;1395575;1395583	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7522	778
ENSG00000248015.2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1392169;1393565;1393577;1393887;1393887;1393887;1394803;1394803;1394803	1393605;1393601;1393605;1394356;1394356;1394356;1394877;1396466;1394866	-;-;-;-;-;-;-;-;-	3571	411
ENSG00000130005.7	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1397091;1398252;1398599;1398915;1398915;1399127;1399127;1399127;1399523;1399523;1399523;1399792;1399792;1401295;1401295	1397498;1399025;1398746;1399025;1399025;1399194;1399194;1399194;1399590;1399586;1399586;1399937;1399937;1401569;1401542	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1739	341
ENSG00000071626.12	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1407568;1407612;1407676;1407707;1407734;1409823;1415739;1415969;1416456;1417499;1417499;1417499;1417499;1417499;1417499;1417499;1418203;1418203;1418203;1418203;1418203;1418203;1418203;1418203;1418665;1418665;1418665;1418665;1418665;1418665;1418665;1421147;1421147;1421147;1421147;1421147;1421150;1421150;1422347;1422347;1422347;1422347;1422347;1422347;1425877;1425877;1425877;1426348;1428841;1428841;1428841;1428841;1428841;1428896;1429966;1429966;1429966;1429966;1429966;1429966;1430221;1430221;1430221;1430221;1430221;1432042;1432513;1432513;1432513;1432513;1432513;1433737;1433738;1434736;1434736;1434736;1434739;1434739;1434739	1407801;1407801;1407801;1407801;1407801;1410078;1415939;1417539;1416554;1417539;1417539;1417539;1417539;1417539;1417539;1417539;1418369;1418369;1418369;1418369;1418369;1418369;1418369;1418369;1418730;1418730;1418708;1418730;1418730;1418730;1418730;1421257;1421231;1421257;1421257;1421257;1421257;1421257;1422395;1422422;1422395;1422395;1422395;1422395;1425959;1425959;1425959;1428994;1428994;1428994;1428902;1428994;1428994;1428994;1429995;1429995;1429995;1430006;1429995;1429995;1430361;1430361;1430361;1430361;1430361;1435675;1432689;1432689;1432689;1432689;1432689;1433826;1433826;1435680;1435686;1435719;1435361;1435029;1435680	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9272	3231
ENSG00000267759.1	chr19;chr19	1413900;1414665	1414059;1414734	+;+	230	9
ENSG00000115268.5	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1438358;1438386;1438399;1438400;1438404;1438404;1438418;1438419;1438419;1438789;1438806;1438806;1438806;1438806;1438806;1438806;1438806;1438806;1438806;1438810;1439605;1439715;1439960;1439967;1440018;1440018;1440018;1440018;1440018;1440018;1440018;1440018;1440025;1440348;1440348;1440348;1440348;1440348;1440348;1440348;1440348;1440348;1440348	1438427;1438427;1438427;1438891;1438427;1438427;1438579;1438427;1438427;1440252;1438891;1438891;1438891;1438891;1438891;1438891;1438891;1438891;1438891;1438891;1439825;1439825;1440252;1440252;1440493;1440252;1440240;1440252;1440252;1440232;1440252;1440252;1440252;1440493;1440493;1440493;1440493;1440482;1440493;1440492;1440489;1440583;1440493	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2226	8626
ENSG00000268798.1	chr19	1440838	1441937	+	1100	11
ENSG00000115266.7	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1446300;1450148;1450148;1450148;1450155;1450294;1451288;1452197;1452983;1452983;1452983;1452983;1452983;1452983;1452983;1453246;1453246;1453246;1453246;1453246;1453246;1453246;1453246;1453430;1453430;1453430;1453430;1453430;1453430;1453430;1453430;1455148;1455148;1455148;1455148;1455148;1455148;1455383;1455383;1455383;1455386;1456075;1456075;1456075;1456075;1456305;1456305;1456305;1456305;1456852;1456852;1456852;1456852;1457964;1457964;1457964;1460180;1460180;1460180;1460180;1460212;1460779;1460779;1460779;1460779;1460779;1461036;1461036;1461036;1461036;1461036;1461962;1461962;1461962;1461962;1461962;1465154;1465154;1465154;1465154;1465154	1446340;1450337;1450337;1450337;1450329;1450337;1453141;1452317;1453141;1453141;1453141;1453141;1453141;1453141;1453141;1453336;1453336;1453336;1453336;1453336;1453336;1453336;1453336;1453613;1453610;1453613;1453610;1453610;1453610;1453610;1453610;1455256;1455256;1455247;1455256;1455256;1455256;1455499;1455499;1455499;1455499;1456152;1456152;1456152;1456152;1456403;1456403;1456403;1456403;1457242;1458059;1457242;1457242;1458059;1458059;1458059;1460319;1460319;1460319;1460319;1460319;1460856;1460856;1460856;1460856;1460856;1461152;1461152;1461152;1461152;1461152;1462176;1462176;1462176;1462176;1462176;1473237;1465417;1473243;1473243;1465408	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	12611	196
ENSG00000267317.1	chr19;chr19;chr19	1457664;1457895;1462710	1458590;1458471;1462764	-;-;-	982	158
ENSG00000119559.11	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1461142;1473200;1473203;1474154;1474171;1474185;1474195;1474478;1474883;1474884;1475145;1475903;1478412;1478434;1478653;1478773;1478773;1478773;1478773;1478773;1478773;1478773;1478773;1478773;1478773;1478773;1479062;1479113;1479113;1479139;1479162;1479162;1479162;1479162;1479162;1479162	1461823;1475257;1475053;1475257;1476484;1475513;1475257;1475238;1475257;1475257;1475257;1476293;1478579;1478904;1478904;1478904;1478904;1478904;1478904;1478904;1478915;1478896;1479117;1478904;1478904;1478904;1479176;1479133;1479182;1479180;1479218;1479212;1479215;1479200;1479555;1479193	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5111	246
ENSG00000115257.11	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1481427;1481427;1481427;1481427;1481985;1482352;1482352;1482352;1482352;1482401;1482410;1482438;1482895;1482895;1482895;1482895;1483283;1483283;1483283;1483283;1483283;1483283;1483497;1483649;1483649;1483649;1483649;1483649;1483649;1483837;1483837;1483837;1483837;1484026;1484026;1484026;1484026;1484026;1484026;1486852;1486852;1486852;1486852;1486852;1487140;1487140;1487140;1487197;1487217;1487602;1487783;1487784;1487784;1487784;1487784;1487784;1487784;1487784;1487962;1487963;1487963;1487963;1487963;1487963;1487963;1487963;1487963;1488187;1488187;1488187;1488187;1488187;1488187;1488187;1488187;1488187;1489592;1489792;1489792;1489792;1489792;1489792;1489792;1489792;1489792;1490157;1490157;1490157;1490157;1490422;1490602;1490602	1482206;1482206;1482206;1482206;1482206;1482666;1482474;1482474;1482474;1482474;1482474;1482474;1483019;1483019;1483019;1483019;1483462;1483462;1483462;1483462;1483462;1483462;1483940;1483843;1483766;1483940;1483766;1483766;1483766;1483940;1483940;1483940;1483940;1484126;1484126;1484126;1484126;1484126;1484126;1487312;1487312;1487064;1487064;1486972;1487312;1487312;1487312;1487312;1487312;1487690;1487860;1487860;1487860;1487860;1487860;1487860;1487860;1487860;1488091;1488091;1488091;1488091;1488091;1488091;1488091;1488091;1488091;1488279;1488279;1488279;1488279;1488279;1488279;1488279;1488279;1488279;1489694;1489896;1489896;1489896;1489896;1490410;1489896;1490341;1489896;1490404;1490404;1490407;1490334;1490445;1490736;1490751	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3692	85
ENSG00000267715.1	chr19;chr19	1484535;1484913	1484585;1485273	+;+	412	6
ENSG00000115255.6	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1491165;1491192;1495293;1495293;1495362;1495468;1495468;1495468;1495475;1496284;1496284;1496284;1496590;1496590;1497173;1497173;1497173;1497641	1491383;1491383;1495386;1495386;1495386;1496180;1495606;1495606;1495606;1496452;1496452;1496452;1496670;1496670;1497369;1497321;1497926;1497720	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2030	282
